narration_id,participant_id,video_id,narration_timestamp,start_timestamp,stop_timestamp,start_frame,stop_frame,narration,verb,verb_class,noun,noun_class,all_nouns,all_noun_classes
P01_01_0,P01,P01_01,00:01.1,00:00.1,00:03.4,8,202,open door,open,3,door,3,['door'],[3]
P01_01_1,P01,P01_01,00:02.6,00:04.4,00:06.2,262,370,turn on light,turn-on,6,light,114,['light'],[114]
P01_01_10,P01,P01_01,00:23.3,00:25.0,00:26.2,1498,1572,open drawer,open,3,drawer,8,['drawer'],[8]
P01_01_100,P01,P01_01,07:57.9,07:59.8,08:00.9,28785,28852,take cup,take,0,cup,13,['cup'],[13]
P01_01_101,P01,P01_01,08:00.0,08:01.5,08:02.2,28888,28932,open cupboard,open,3,cupboard,3,['cupboard'],[3]
P01_01_102,P01,P01_01,08:01.2,08:02.1,08:03.0,28927,28980,put cup into cupboard,put-into,5,cup,13,"['cup', 'cupboard']","[13, 3]"
P01_01_103,P01,P01_01,08:03.9,08:05.2,08:07.2,29113,29232,take container and lid,take,0,container,21,"['container', 'lid']","[21, 6]"
P01_01_104,P01,P01_01,08:07.6,08:08.4,08:09.1,29302,29347,put container on top of counter,put-on,1,container,21,"['container', 'top:counter']","[21, 42]"
P01_01_105,P01,P01_01,08:09.9,08:12.0,08:12.7,29520,29564,open container,open,3,container,21,['container'],[21]
P01_01_106,P01,P01_01,08:12.9,08:13.2,08:14.4,29593,29662,put container inside container,put-inside,5,container,21,"['container', 'container']","[21, 21]"
P01_01_107,P01,P01_01,08:14.6,08:15.8,08:17.0,29748,29819,close lid,close,4,lid,6,['lid'],[6]
P01_01_108,P01,P01_01,08:18.0,08:19.6,08:20.6,29978,30036,put container in cupboard,put-in,5,container,21,"['container', 'cupboard']","[21, 3]"
P01_01_109,P01,P01_01,08:21.0,08:22.4,08:23.3,30141,30198,take plate,take,0,plate,2,['plate'],[2]
P01_01_11,P01,P01_01,00:28.0,00:29.2,00:31.3,1753,1879,close fridge,close,4,fridge,12,['fridge'],[12]
P01_01_110,P01,P01_01,08:25.7,08:24.7,08:27.9,30279,30475,put plate down,put-down,1,plate,2,['plate'],[2]
P01_01_111,P01,P01_01,08:26.8,08:28.2,08:29.9,30489,30596,open drawer,open,3,drawer,8,['drawer'],[8]
P01_01_112,P01,P01_01,08:29.9,08:29.3,08:31.5,30557,30692,take something,take,0,drawer,8,['drawer'],[8]
P01_01_113,P01,P01_01,08:32.2,08:32.7,08:34.4,30759,30865,put down something,put-down,1,drawer,8,['drawer'],[8]
P01_01_114,P01,P01_01,08:35.2,08:36.8,08:38.0,31008,31082,open drawer,open,3,drawer,8,['drawer'],[8]
P01_01_115,P01,P01_01,08:36.5,08:37.9,08:39.1,31072,31147,take fork,take,0,fork,14,['fork'],[14]
P01_01_116,P01,P01_01,08:37.6,08:39.3,08:40.3,31160,31215,put down fork,put-down,1,fork,14,['fork'],[14]
P01_01_117,P01,P01_01,08:39.1,08:41.2,08:42.1,31271,31324,take spatula,take,0,spatula,20,['spatula'],[20]
P01_01_118,P01,P01_01,08:40.7,08:41.9,08:48.6,31315,31713,stir vegetables,stir,10,vegetable,94,['vegetable'],[94]
P01_01_12,P01,P01_01,00:29.5,00:36.7,00:37.8,2200,2266,put down vegetables,put-down,1,vegetable,94,['vegetable'],[94]
P01_01_120,P01,P01_01,09:00.6,09:02.0,09:03.0,32522,32578,take container,take,0,container,21,['container'],[21]
P01_01_121,P01,P01_01,09:04.1,09:06.4,09:07.4,32783,32845,open fridge,open,3,fridge,12,['fridge'],[12]
P01_01_122,P01,P01_01,09:05.3,09:07.4,09:09.0,32844,32940,put container into fridge,put-into,5,container,21,"['container', 'fridge']","[21, 12]"
P01_01_123,P01,P01_01,09:07.3,09:09.3,09:10.0,32956,33001,close fridge,close,4,fridge,12,['fridge'],[12]
P01_01_124,P01,P01_01,09:11.5,09:13.4,09:14.5,33204,33269,take spatula,take,0,spatula,20,['spatula'],[20]
P01_01_125,P01,P01_01,09:12.5,09:14.7,09:18.5,33279,33510,stir vegetables,stir,10,vegetable,94,['vegetable'],[94]
P01_01_126,P01,P01_01,09:19.4,09:21.1,09:22.3,33667,33739,take grater,take,0,grater,96,['grater'],[96]
P01_01_127,P01,P01_01,09:30.3,09:21.1,09:22.5,33667,33751,take grater,take,0,grater,96,['grater'],[96]
P01_01_128,P01,P01_01,09:20.7,09:22.1,09:22.8,33724,33768,take carrots,take,0,carrot,41,['carrot'],[41]
P01_01_129,P01,P01_01,09:23.3,09:24.2,09:28.8,33855,34130,cut carrots,cut,7,carrot,41,['carrot'],[41]
P01_01_13,P01,P01_01,00:39.8,00:41.8,00:42.5,2507,2553,open cupboard,open,3,cupboard,3,['cupboard'],[3]
P01_01_130,P01,P01_01,09:24.2,09:29.2,09:31.0,34150,34261,drop grater,drop,59,grater,96,['grater'],[96]
P01_01_131,P01,P01_01,09:34.9,09:34.4,09:46.9,34465,35215,grate carrots,grate,77,carrot,41,['carrot'],[41]
P01_01_132,P01,P01_01,09:49.0,09:47.0,09:55.6,35221,35734,still grating carrots,grate,77,carrot,41,['carrot'],[41]
P01_01_133,P01,P01_01,10:13.6,09:50.3,10:00.7,35417,36043,still grating carrot,grate,77,carrot,41,['carrot'],[41]
P01_01_134,P01,P01_01,10:23.0,10:02.2,10:39.0,36131,38339,still grating carrot,grate,77,carrot,41,['carrot'],[41]
P01_01_135,P01,P01_01,10:37.7,10:39.5,10:40.3,38370,38416,put down grater,put-down,1,grater,96,['grater'],[96]
P01_01_136,P01,P01_01,10:39.6,10:41.8,10:42.8,38508,38569,throw carrot into bin,throw-into,13,carrot,41,"['carrot', 'bin']","[41, 36]"
P01_01_137,P01,P01_01,10:42.7,10:44.5,10:45.3,38669,38719,take grater,take,0,grater,96,['grater'],[96]
P01_01_138,P01,P01_01,10:48.1,10:49.7,10:50.8,38980,39046,put down grater,put-down,1,grater,96,['grater'],[96]
P01_01_139,P01,P01_01,10:50.5,10:52.8,10:53.8,39166,39229,throw carrot into bin,throw-into,13,carrot,41,"['carrot', 'bin']","[41, 36]"
P01_01_14,P01,P01_01,00:44.1,00:43.2,00:46.6,2592,2798,take cutting board,take,0,board:cutting,18,['board:cutting'],[18]
P01_01_140,P01,P01_01,10:52.6,10:54.7,10:55.7,39285,39345,take spatula,take,0,spatula,20,['spatula'],[20]
P01_01_141,P01,P01_01,10:53.8,10:55.7,11:01.0,39343,39657,stir vegetables,stir,10,vegetable,94,['vegetable'],[94]
P01_01_142,P01,P01_01,11:01.0,11:02.5,11:03.5,39753,39813,open cupboard,open,3,cupboard,3,['cupboard'],[3]
P01_01_143,P01,P01_01,11:05.0,11:03.5,11:05.3,39813,39918,take saucepan,take,0,saucepan,5,['saucepan'],[5]
P01_01_144,P01,P01_01,11:10.5,11:07.3,11:14.2,40038,40449,put down saucepan,put-down,1,saucepan,5,['saucepan'],[5]
P01_01_145,P01,P01_01,11:13.9,11:15.0,11:17.0,40500,40619,turn hob,turn,23,hob,24,['hob'],[24]
P01_01_146,P01,P01_01,11:18.3,11:19.5,11:22.3,40770,40937,take kettle,take,0,kettle,44,['kettle'],[44]
P01_01_147,P01,P01_01,11:22.7,11:23.4,11:37.4,41004,41841,pour water into saucepan,pour-into,9,water,27,"['water', 'saucepan']","[27, 5]"
P01_01_148,P01,P01_01,11:25.8,11:26.6,11:31.5,41193,41493,see boiling water,see,38,water:boiling,27,['water:boiling'],[27]
P01_01_149,P01,P01_01,11:38.1,11:39.1,11:41.9,41944,42114,put down kettle,put-down,1,kettle,44,['kettle'],[44]
P01_01_15,P01,P01_01,00:45.6,00:46.5,00:47.8,2787,2868,put down cutting board,put-down,1,board:cutting,18,['board:cutting'],[18]
P01_01_150,P01,P01_01,11:42.5,11:43.9,11:45.4,42231,42324,take olive oil,take,0,oil:olive,31,['oil:olive'],[31]
P01_01_151,P01,P01_01,11:45.9,11:47.9,11:53.1,42472,42784,pour oil,pour,9,oil,31,['oil'],[31]
P01_01_152,P01,P01_01,11:53.3,11:53.1,11:56.4,42788,42983,close oil,close,4,oil,31,['oil'],[31]
P01_01_153,P01,P01_01,11:54.5,11:56.5,11:57.8,42989,43069,put down oil,put-down,1,oil,31,['oil'],[31]
P01_01_154,P01,P01_01,11:56.2,11:57.9,11:58.8,43075,43128,take spatula,take,0,spatula,20,['spatula'],[20]
